SensorName,Time,Value
Preben - Canteen Humidity,2025-02-14 07:40:37,19.78
Preben - Canteen Humidity,2025-02-14 07:35:37,19.84
Preben - Canteen Humidity,2025-02-14 07:30:37,19.76
Preben - Canteen Humidity,2025-02-14 07:25:37,19.59
Preben - Canteen Humidity,2025-02-14 07:20:37,19.59
Preben - Canteen Humidity,2025-02-14 07:15:37,19.62
Preben - Canteen Humidity,2025-02-14 07:10:37,19.46
Preben - Canteen Humidity,2025-02-14 07:05:37,19.2
Preben - Canteen Humidity,2025-02-14 07:00:35,18.87
Preben - Canteen Humidity,2025-02-14 06:55:37,18.46
Preben - Canteen Humidity,2025-02-14 06:50:38,18.65
Preben - Canteen Humidity,2025-02-14 06:45:32,18.55
Preben - Canteen Humidity,2025-02-14 06:40:37,18.53
Preben - Canteen Humidity,2025-02-14 06:35:37,18.54
Preben - Canteen Humidity,2025-02-14 06:30:37,18.51
Preben - Canteen Humidity,2025-02-14 06:25:37,18.5
Preben - Canteen Humidity,2025-02-14 06:20:37,18.48
Preben - Canteen Humidity,2025-02-14 06:15:38,18.5
Preben - Canteen Humidity,2025-02-14 06:10:35,18.5
Preben - Canteen Humidity,2025-02-14 06:05:36,18.48
Preben - Canteen Humidity,2025-02-14 06:00:37,18.47
Preben - Canteen Humidity,2025-02-14 05:55:37,18.41
Preben - Canteen Humidity,2025-02-14 05:50:36,18.49
Preben - Canteen Humidity,2025-02-14 05:45:37,18.47
Preben - Canteen Humidity,2025-02-14 05:40:37,18.48
Preben - Canteen Humidity,2025-02-14 05:35:37,18.49
Preben - Canteen Humidity,2025-02-14 05:30:34,18.45
Preben - Canteen Humidity,2025-02-14 05:25:37,18.52
Preben - Canteen Humidity,2025-02-14 05:20:37,18.46
Preben - Canteen Humidity,2025-02-14 05:15:36,18.49
Preben - Canteen Humidity,2025-02-14 05:10:36,18.55
Preben - Canteen Humidity,2025-02-14 05:05:37,18.55
Preben - Canteen Humidity,2025-02-14 05:00:35,18.49
Preben - Canteen Humidity,2025-02-14 04:55:36,18.48
