SensorName,Time,Value
Preben - Canteen Humidity,2025-02-24 10:20:47,33.47
Preben - Canteen Humidity,2025-02-24 10:15:48,33.71
Preben - Canteen Humidity,2025-02-24 10:10:48,33.96
Preben - Canteen Humidity,2025-02-24 10:05:49,34.48
Preben - Canteen Humidity,2025-02-24 10:00:47,34.44
Preben - Canteen Humidity,2025-02-24 09:55:48,34.5
Preben - Canteen Humidity,2025-02-24 09:50:47,34.24
Preben - Canteen Humidity,2025-02-24 09:45:45,34.35
Preben - Canteen Humidity,2025-02-24 09:40:45,34.67
Preben - Canteen Humidity,2025-02-24 09:35:48,34.36
Preben - Canteen Humidity,2025-02-24 09:30:47,34.8
Preben - Canteen Humidity,2025-02-24 09:20:48,33.49
Preben - Canteen Humidity,2025-02-24 09:15:49,33.31
Preben - Canteen Humidity,2025-02-24 09:10:47,33.13
Preben - Canteen Humidity,2025-02-24 09:05:48,32.82
Preben - Canteen Humidity,2025-02-24 09:00:48,32.83
Preben - Canteen Humidity,2025-02-24 08:55:47,33.12
Preben - Canteen Humidity,2025-02-24 08:50:48,32.47
Preben - Canteen Humidity,2025-02-24 08:45:48,32.27
Preben - Canteen Humidity,2025-02-24 08:40:47,32.35
Preben - Canteen Humidity,2025-02-24 08:35:47,32.3
Preben - Canteen Humidity,2025-02-24 08:30:42,32.5
Preben - Canteen Humidity,2025-02-24 08:25:48,32.75
Preben - Canteen Humidity,2025-02-24 08:20:47,31.78
Preben - Canteen Humidity,2025-02-24 08:15:48,31.82
Preben - Canteen Humidity,2025-02-24 08:10:47,31.68
Preben - Canteen Humidity,2025-02-24 08:05:48,31.31
Preben - Canteen Humidity,2025-02-24 08:00:47,31.37
Preben - Canteen Humidity,2025-02-24 07:55:48,31.47
Preben - Canteen Humidity,2025-02-24 07:50:48,31.18
Preben - Canteen Humidity,2025-02-24 07:45:47,31.25
Preben - Canteen Humidity,2025-02-24 07:40:48,31.43
Preben - Canteen Humidity,2025-02-24 07:35:45,31.14
Preben - Canteen Humidity,2025-02-24 07:30:49,31.1
Preben - Canteen Humidity,2025-02-24 07:25:47,31.12
Preben - Canteen Humidity,2025-02-24 07:20:48,31.03
Preben - Canteen Humidity,2025-02-24 07:15:44,31.11
Preben - Canteen Humidity,2025-02-24 07:10:48,31.18
Preben - Canteen Humidity,2025-02-24 07:05:48,30.86
Preben - Canteen Humidity,2025-02-24 07:00:48,30.78
Preben - Canteen Humidity,2025-02-24 06:55:46,30.78
Preben - Canteen Humidity,2025-02-24 06:50:49,30.86
Preben - Canteen Humidity,2025-02-24 06:45:45,30.94
Preben - Canteen Humidity,2025-02-24 06:40:49,30.49
Preben - Canteen Humidity,2025-02-24 06:35:48,30.49
Preben - Canteen Humidity,2025-02-24 06:30:48,30.46
Preben - Canteen Humidity,2025-02-24 06:25:48,30.47
Preben - Canteen Humidity,2025-02-24 06:20:48,30.46
Preben - Canteen Humidity,2025-02-24 06:15:49,30.49
Preben - Canteen Humidity,2025-02-24 06:10:48,30.4
Preben - Canteen Humidity,2025-02-24 06:05:49,30.42
Preben - Canteen Humidity,2025-02-24 06:00:47,30.4
Preben - Canteen Humidity,2025-02-24 05:55:48,30.35
Preben - Canteen Humidity,2025-02-24 05:50:49,30.35
Preben - Canteen Humidity,2025-02-24 05:45:49,30.38
Preben - Canteen Humidity,2025-02-24 05:40:47,30.38
Preben - Canteen Humidity,2025-02-24 05:35:48,30.22
Preben - Canteen Humidity,2025-02-24 05:30:48,30.23
Preben - Canteen Humidity,2025-02-24 05:25:48,30.24
Preben - Canteen Humidity,2025-02-24 05:20:48,30.13
Preben - Canteen Humidity,2025-02-24 05:15:49,30.09
Preben - Canteen Humidity,2025-02-24 05:10:48,30.12
Preben - Canteen Humidity,2025-02-24 05:05:48,30
Preben - Canteen Humidity,2025-02-24 05:00:48,29.96
Preben - Canteen Humidity,2025-02-24 04:55:48,29.99
Preben - Canteen Humidity,2025-02-24 04:50:44,29.92
Preben - Canteen Humidity,2025-02-24 04:45:48,29.83
Preben - Canteen Humidity,2025-02-24 04:40:48,29.82
Preben - Canteen Humidity,2025-02-24 04:35:48,29.82
Preben - Canteen Humidity,2025-02-24 04:30:47,29.71
Preben - Canteen Humidity,2025-02-24 04:25:48,29.71
Preben - Canteen Humidity,2025-02-24 04:20:46,29.73
Preben - Canteen Humidity,2025-02-24 04:15:46,29.66
Preben - Canteen Humidity,2025-02-24 04:10:48,29.59
Preben - Canteen Humidity,2025-02-24 04:05:48,29.6
Preben - Canteen Humidity,2025-02-24 04:00:48,29.59
Preben - Canteen Humidity,2025-02-24 03:55:48,29.54
Preben - Canteen Humidity,2025-02-24 03:50:49,29.54
Preben - Canteen Humidity,2025-02-24 03:45:46,29.53
Preben - Canteen Humidity,2025-02-24 03:40:47,29.52
Preben - Canteen Humidity,2025-02-24 03:35:48,29.54
Preben - Canteen Humidity,2025-02-24 03:30:48,29.56
Preben - Canteen Humidity,2025-02-24 03:25:48,29.57
Preben - Canteen Humidity,2025-02-24 03:20:47,29.62
Preben - Canteen Humidity,2025-02-24 03:15:46,29.65
Preben - Canteen Humidity,2025-02-24 03:10:47,29.65
Preben - Canteen Humidity,2025-02-24 03:05:47,29.65
Preben - Canteen Humidity,2025-02-24 03:00:47,29.67
Preben - Canteen Humidity,2025-02-24 02:55:49,29.69
Preben - Canteen Humidity,2025-02-24 02:50:49,29.7
Preben - Canteen Humidity,2025-02-24 02:45:48,29.7
Preben - Canteen Humidity,2025-02-24 02:40:49,29.7
Preben - Canteen Humidity,2025-02-24 02:35:46,29.67
Preben - Canteen Humidity,2025-02-24 02:30:49,29.68
Preben - Canteen Humidity,2025-02-24 02:25:47,29.68
Preben - Canteen Humidity,2025-02-24 02:20:46,29.64
Preben - Canteen Humidity,2025-02-24 02:15:49,29.64
Preben - Canteen Humidity,2025-02-24 02:10:47,29.63
Preben - Canteen Humidity,2025-02-24 02:05:48,29.59
Preben - Canteen Humidity,2025-02-24 02:00:46,29.55
Preben - Canteen Humidity,2025-02-24 01:55:47,29.56
Preben - Canteen Humidity,2025-02-24 01:50:45,29.54
Preben - Canteen Humidity,2025-02-24 01:45:46,29.52
Preben - Canteen Humidity,2025-02-24 01:40:47,29.52
Preben - Canteen Humidity,2025-02-24 01:35:47,29.51
Preben - Canteen Humidity,2025-02-24 01:30:49,29.47
Preben - Canteen Humidity,2025-02-24 01:25:48,29.49
Preben - Canteen Humidity,2025-02-24 01:20:48,29.53
Preben - Canteen Humidity,2025-02-24 01:15:49,29.42
Preben - Canteen Humidity,2025-02-24 01:10:48,29.39
Preben - Canteen Humidity,2025-02-24 01:05:48,29.36
Preben - Canteen Humidity,2025-02-24 01:00:48,29.32
Preben - Canteen Humidity,2025-02-24 00:55:48,29.23
Preben - Canteen Humidity,2025-02-24 00:50:49,29.24
Preben - Canteen Humidity,2025-02-24 00:45:48,29.29
Preben - Canteen Humidity,2025-02-24 00:40:46,29.13
Preben - Canteen Humidity,2025-02-24 00:35:46,29.13
Preben - Canteen Humidity,2025-02-24 00:30:47,29.11
