datetime,altitude,azimuth
2025-02-24T06:45:00+00:00,1.278060260383949,110.52738683517849
2025-02-24T06:50:00+00:00,1.8132948109188596,111.61234679337424
2025-02-24T06:55:00+00:00,2.3554643842887777,112.69996619860657
2025-02-24T07:00:00+00:00,2.9014886241337834,113.79045147745452
2025-02-24T07:05:00+00:00,3.449010995782721,114.88400429569059
2025-02-24T07:10:00+00:00,3.9962608740478713,115.98082090772554
2025-02-24T07:15:00+00:00,4.541895794579935,117.08109296754404
2025-02-24T07:20:00+00:00,5.084875639723255,118.18500611739489
2025-02-24T07:25:00+00:00,5.62437343548279,119.29274077781895
2025-02-24T07:30:00+00:00,6.1597128619929045,120.40447144730513
2025-02-24T07:35:00+00:00,6.690325170627371,121.52036613349863
2025-02-24T07:40:00+00:00,7.215719588816129,122.6405863638808
2025-02-24T07:45:00+00:00,7.7354626663074,123.76528719540892
2025-02-24T07:50:00+00:00,8.249163428468359,124.89461661087527
2025-02-24T07:55:00+00:00,8.756462654815756,126.02871474236348
2025-02-24T08:00:00+00:00,9.257025748395042,127.16771460847127
2025-02-24T08:05:00+00:00,9.750536626724394,128.31174055847225
2025-02-24T08:10:00+00:00,10.236694088512493,129.46090900092557
2025-02-24T08:15:00+00:00,10.715208556663772,130.61532759323975
2025-02-24T08:20:00+00:00,11.185799674440707,131.7750945775211
2025-02-24T08:25:00+00:00,11.64819473413042,132.94029872532144
2025-02-24T08:30:00+00:00,12.102127524288903,134.1110192944667
2025-02-24T08:35:00+00:00,12.54733725474397,135.28732536042935
2025-02-24T08:40:00+00:00,12.983567690952654,136.46927498046816
2025-02-24T08:45:00+00:00,13.410567075558966,137.65691595050626
2025-02-24T08:50:00+00:00,13.828087324144995,138.8502841901866
2025-02-24T08:55:00+00:00,14.235884218456542,140.04940452746763
2025-02-24T09:00:00+00:00,14.633717120334397,141.2542898996417
2025-02-24T09:05:00+00:00,15.021348843949093,142.46494072753737
2025-02-24T09:10:00+00:00,15.398545814199942,143.6813449489343
2025-02-24T09:15:00+00:00,15.7650782665527,144.90347808920353
2025-02-24T09:20:00+00:00,16.120720290397323,146.13130270487832
2025-02-24T09:25:00+00:00,16.465249885989405,147.3647676800442
2025-02-24T09:30:00+00:00,16.798449522472012,148.60380921060124
2025-02-24T09:35:00+00:00,17.12010602796692,149.84834934644363
2025-02-24T09:40:00+00:00,17.430011189074733,151.09829706156683
2025-02-24T09:45:00+00:00,17.727961915544203,152.3535477033557
2025-02-24T09:50:00+00:00,18.013760487393245,153.61398265183638
2025-02-24T09:55:00+00:00,18.287214980145464,154.87946969495047
2025-02-24T10:00:00+00:00,18.54813968070117,156.14986346886107
2025-02-24T10:05:00+00:00,18.796355360856857,157.42500527239878
2025-02-24T10:10:00+00:00,19.03168954548946,158.7047227553244
2025-02-24T10:15:00+00:00,19.25397710274568,159.98883138407507
2025-02-24T10:20:00+00:00,19.463060353000557,161.27713338972393
2025-02-24T10:25:00+00:00,19.658789637930365,162.5694193604163
2025-02-24T10:30:00+00:00,19.841023574248855,163.86546816606847
2025-02-24T10:35:00+00:00,20.009629350563518,165.1650471153716
2025-02-24T10:40:00+00:00,20.164483114986016,166.46791286128004
2025-02-24T10:45:00+00:00,20.305470325259453,167.7738123744276
2025-02-24T10:50:00+00:00,20.432485995405333,169.08248327148974
2025-02-24T10:55:00+00:00,20.545434931944357,170.39365401302936
2025-02-24T11:00:00+00:00,20.644232104586383,171.7070459141139
2025-02-24T11:05:00+00:00,20.72880275920391,173.02237255971642
2025-02-24T11:10:00+00:00,20.79908272176648,174.339341908814
2025-02-24T11:15:00+00:00,20.855018532122628,175.65765666653965
2025-02-24T11:20:00+00:00,20.896567586023277,176.97701486934628
2025-02-24T11:25:00+00:00,20.92369828289503,178.29711119908185
2025-02-24T11:30:00+00:00,20.936390118056472,179.61763832495058
2025-02-24T11:35:00+00:00,20.934633725580643,180.93828754702412
2025-02-24T11:40:00+00:00,20.91843091637519,182.25874927327118
2025-02-24T11:45:00+00:00,20.8877946662847,183.57871526996882
2025-02-24T11:50:00+00:00,20.842749097719018,184.89787824912185
2025-02-24T11:55:00+00:00,20.783329385047658,186.21593410820776
2025-02-24T12:00:00+00:00,20.709581659884776,187.5325823729772
2025-02-24T12:05:00+00:00,20.6215629047015,188.8475268039291
2025-02-24T12:10:00+00:00,20.51934078329067,190.16047667657313
2025-02-24T12:15:00+00:00,20.402993418057235,191.47114802972496
2025-02-24T12:20:00+00:00,20.272609192761887,192.7792641673985
2025-02-24T12:25:00+00:00,20.12828657450617,194.08455594402022
2025-02-24T12:30:00+00:00,19.9701337225248,195.38676375879723
2025-02-24T12:35:00+00:00,19.798268360375516,196.6856368669539
2025-02-24T12:40:00+00:00,19.612817327227855,197.9809352679399
2025-02-24T12:45:00+00:00,19.41391631671438,199.27242977912266
2025-02-24T12:50:00+00:00,19.201709601740678,200.5599022393759
2025-02-24T12:55:00+00:00,18.97634964734896,201.8431463428901
2025-02-24T13:00:00+00:00,18.737996691137223,203.12196841080586
2025-02-24T13:05:00+00:00,18.48681843661823,204.3961874106921
2025-02-24T13:10:00+00:00,18.22298980187004,205.66563475156673
